run_id,run_name,start_time,status,param_model_type,param_evaluation,metric_test_mape,metric_test_rmse,metric_test_mae,metric_test_r2,param_timestamp,param_best_alpha,metric_val_mae,metric_train_r2,metric_train_mae,metric_train_rmse,metric_val_rmse,metric_val_r2,param_best_min_samples_split,param_best_n_estimators,param_best_subsample,param_best_max_depth,param_best_learning_rate,param_best_min_samples_leaf,param_best_max_features,param_data_quality_pass,param_dropped_rows,param_num_features,param_processing_timestamp,param_total_records,metric_price_std,metric_price_mean,metric_null_percentage
6f43d254e5064a5281f12495fef0fb21,intrigued-doe-528,2025-11-29 16:55:45.747,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3513ca34e2ef43068dbd9ead7643e780,best_model_test_20251129_165536,2025-11-29 16:55:36.368,FINISHED,Ridge,test_set,425.7462046039128,0.005354063479623784,0.0039584653710535225,-0.32662675997034873,,,,,,,,,,,,,,,,,,,,,,,
fbe1372bf0a9459c8e84a0bde3026202,Lasso_20251129_165522,2025-11-29 16:55:22.216,FINISHED,Lasso,,,,,,2025-11-29T16:55:24.225802,0.001,0.005625681684909133,0.0,0.0036986145014688957,0.005246304296191782,0.007638570020252202,-0.004019693526027934,,,,,,,,,,,,,,,
46ef527b93784099bb8f52ceaf1179f2,Ridge_20251129_165509,2025-11-29 16:55:09.065,FINISHED,Ridge,,,,,,2025-11-29T16:55:10.231994,10.0,0.005471184108962956,0.08196382144039116,0.003642497337643237,0.005026704727491259,0.007526118986637848,0.02532401927875716,,,,,,,,,,,,,,,
e4f0b70cf8a94af29c674cb3dbdbb149,GradientBoosting_20251129_165440,2025-11-29 16:54:40.675,FINISHED,GradientBoosting,,,,,,2025-11-29T16:54:41.888324,,0.005558730636509196,0.012413182175577964,0.0036821133508624575,0.00521364095015687,0.007622900446456038,9.532379939258817e-05,10,100,0.8,2,0.001,,,,,,,,,,
c3f52fe12e4c4876839d4b736cbd8f1c,RandomForest_20251129_165417,2025-11-29 16:54:17.469,FINISHED,RandomForest,,,,,,2025-11-29T16:54:18.200245,,0.006220803486202903,0.2923414315752595,0.0031685978562477892,0.0044133194247269756,0.008674301450992782,-0.29475359315401284,5,100,,5,,2,sqrt,,,,,,,,
4e4bfd8b90b4434d949ebea7f1ce69a4,data_processing_20251129_165337,2025-11-29 16:53:49.915,FINISHED,,,,,,,,,,,,,,,,,,,,,,True,25,50,20251129_165337,682,7941.954351742962,96987.10236138054,0.0
d17997635f8d48f580ca91833bbe6326,dazzling-bear-362,2025-11-29 16:51:10.668,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047a2e17fe734ed19f337c49853da2c2,best_model_test_20251129_165100,2025-11-29 16:51:00.592,FINISHED,Ridge,test_set,425.7462046039128,0.005354063479623784,0.0039584653710535225,-0.32662675997034873,,,,,,,,,,,,,,,,,,,,,,,
63c23012dcc343feab298da66738f7d7,Lasso_20251129_165047,2025-11-29 16:50:47.816,FINISHED,Lasso,,,,,,2025-11-29T16:50:49.625409,0.001,0.005625681684909133,0.0,0.0036986145014688957,0.005246304296191782,0.007638570020252202,-0.004019693526027934,,,,,,,,,,,,,,,
d5c4627cec02437a97f43f2877ada8bd,Ridge_20251129_165035,2025-11-29 16:50:35.188,FINISHED,Ridge,,,,,,2025-11-29T16:50:36.362015,10.0,0.005471184108962956,0.08196382144039116,0.003642497337643237,0.005026704727491259,0.007526118986637848,0.02532401927875716,,,,,,,,,,,,,,,
9adcefd3a7644024b781cf53eccf3482,GradientBoosting_20251129_165000,2025-11-29 16:50:00.388,FINISHED,GradientBoosting,,,,,,2025-11-29T16:50:01.759868,,0.005558730636509196,0.012413182175577964,0.0036821133508624575,0.00521364095015687,0.007622900446456038,9.532379939258817e-05,10,100,0.8,2,0.001,,,,,,,,,,
b2bb88ca484147a197d5bb58a496b57c,RandomForest_20251129_164935,2025-11-29 16:49:35.872,FINISHED,RandomForest,,,,,,2025-11-29T16:49:36.649985,,0.006220803486202903,0.2923414315752595,0.0031685978562477892,0.0044133194247269756,0.008674301450992782,-0.29475359315401284,5,100,,5,,2,sqrt,,,,,,,,
42a651b5c07f4bebab892509b4f79dc4,data_processing_20251129_164856,2025-11-29 16:49:12.911,FINISHED,,,,,,,,,,,,,,,,,,,,,,True,25,50,20251129_164856,682,7941.954351742962,96987.10236138054,0.0
65cf64764049447ebffd84050e14cccc,rare-cow-785,2025-11-29 16:47:05.557,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
